SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3212 W 61st St,Cleveland,OH,44102,190000,4,1,J H Sargents Allotment,1662,4373,1916,1,114,,Active,,,https://www.redfin.com/OH/Cleveland/3212-W-61st-St-44102/home/66179943,Yes-MLS,4452683,N,Y,41.4664968,-81.7279164
MLS Listing,,Multi-Family (2-4 Unit),2113 W 98th St,Cleveland,OH,44102,199000,5,3,Johnson,2736,7501,1900,1,73,,Active,,,https://www.redfin.com/OH/Cleveland/2113-W-98th-St-44102/home/66571228,Yes-MLS,4452736,N,Y,41.4722395,-81.7506934
MLS Listing,,Single Family Residential,3063 W 48th St,Cleveland,OH,44102,79900,3,2,Taylor & Hoyt,1309,5000,1900,1,61,,Active,,,https://www.redfin.com/OH/Cleveland/3063-W-48th-St-44102/home/66157931,Yes-MLS,4452276,N,Y,41.4705502,-81.7202141
MLS Listing,,Single Family Residential,3472 W 91st St,Cleveland,OH,44102,108000,2,1,Cleveland,984,2613,1920,1,110,,Active,,,https://www.redfin.com/OH/Cleveland/3472-W-91st-St-44102/home/66095388,Yes-MLS,4452603,N,Y,41.4595037,-81.7468521
MLS Listing,,Single Family Residential,3411 W 46th St,Cleveland,OH,44102,89900,3,1.5,Plaisted & Tousley,1514,3698,1920,1,59,,Active,,,https://www.redfin.com/OH/Cleveland/3411-W-46th-St-44102/home/66162594,Yes-MLS,4452549,N,Y,41.4615112,-81.7181618
MLS Listing,,Single Family Residential,3204 W 71st St,Cleveland,OH,44102,59900,3,1,James M Hoyt & Sons Allotment,1075,3720,1900,1,56,,Active,,,https://www.redfin.com/OH/Cleveland/3204-W-71st-St-44102/home/70725385,Yes-MLS,4452486,N,Y,41.4666299,-81.7346252
MLS Listing,,Single Family Residential,4720 Storer Ave,Cleveland,OH,44102,59900,4,2,Diodate Clarks Allotment,1706,4321,1900,1,35,,Active,,,https://www.redfin.com/OH/Cleveland/4720-Storer-Ave-44102/home/66190177,Yes-MLS,4452264,N,Y,41.4625844,-81.7198507
MLS Listing,,Multi-Family (2-4 Unit),3407 W 56th St,Cleveland,OH,44102,59900,4,2,Myers & Schneiders Allotment,1727,5201,1900,1,35,,Active,,,https://www.redfin.com/OH/Cleveland/3407-W-56th-St-44102/home/70738783,Yes-MLS,4452333,N,Y,41.4615889,-81.7250052
MLS Listing,,Multi-Family (2-4 Unit),7602 Neville Ave,Cleveland,OH,44102,84900,4,2.5,Cleveland,1684,3484,1900,1,50,,Active,,,https://www.redfin.com/OH/Cleveland/7602-Neville-Ave-44102/home/66576293,Yes-MLS,4452073,N,Y,41.4649395,-81.739246
MLS Listing,,Condo/Co-op,1242 W 70th St,Cleveland,OH,44102,590000,2,2.5,Battery Park,1817,,2017,3,325,165,Active,April-22-2023 11:00 AM,April-22-2023 02:00 PM,https://www.redfin.com/OH/Cleveland/1242-W-70th-St-44102/home/142155251,Yes-MLS,4450882,N,Y,41.4878378,-81.7335518
MLS Listing,,Single Family Residential,2080 W 103rd St,Cleveland,OH,44102,79900,3,2,C N Mixs Allotment,,3990,1916,3,,,Active,,,https://www.redfin.com/OH/Cleveland/2080-W-103rd-St-44102/home/66595012,Yes-MLS,4451738,N,Y,41.4746503,-81.7570497
MLS Listing,,Single Family Residential,9636 Silk Ave,Cleveland,OH,44102,98000,2,1,West Blvd,,3232,1920,3,,,Active,,,https://www.redfin.com/OH/Cleveland/9636-Silk-Ave-44102/home/66171897,Yes-MLS,4437154,N,Y,41.482158,-81.7502554
